feed_name,entity_id,trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,current_stop_sequence,current_status,stop_id,timestamp_unix,timestamp_readable,vehicle_id,vehicle_label,latitude,longitude,bearing,odometer,speed,congestion_level,occupancy_status
1234567S,000173,122750_5..N71R,5,0,,20260512,0,36,2,501N,1778636943,2026-05-12 18:49:03,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000175,123650_5..N71R,5,0,,20260512,0,35,2,502N,1778636962,2026-05-12 18:49:22,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000177,125650_5..S08R,5,0,,20260512,0,22,1,640S,1778636943,2026-05-12 18:49:03,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000179,126400_5..S08R,5,0,,20260512,0,21,2,635S,1778636971,2026-05-12 18:49:31,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000181,127000_5..N73R,5,0,,20260512,0,19,0,214N,1778636967,2026-05-12 18:49:27,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000183,128350_5..N73R,5,0,,20260512,0,12,2,221N,1778636967,2026-05-12 18:49:27,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000185,129300_5..N73R,5,0,,20260512,0,8,2,626N,1778636967,2026-05-12 18:49:27,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000187,129650_5..S01R,5,0,,20260512,0,6,2,213S,1778636748,2026-05-12 18:45:48,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000189,130400_5..N73R,5,0,,20260512,0,5,2,635N,1778636961,2026-05-12 18:49:21,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000191,130850_5..S01R,5,0,,20260512,0,3,2,503S,1778636967,2026-05-12 18:49:27,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000198,103950_6..N02R,6X,0,,20260512,0,1,2,640N,1778622113,2026-05-12 14:41:53,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000200,124600_6..N01R,6,0,,20260512,0,38,0,601N,1778636964,2026-05-12 18:49:24,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000202,124850_6..S01R,6,0,,20260512,0,38,2,640S,1778636970,2026-05-12 18:49:30,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000204,125100_6..N01R,6,0,,20260512,0,37,1,602N,1778636845,2026-05-12 18:47:25,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000206,125450_6..S01R,6,0,,20260512,0,34,1,636S,1778636937,2026-05-12 18:48:57,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000209,126150_6..S01R,6,0,,20260512,0,29,1,631S,1778636927,2026-05-12 18:48:47,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000211,126600_6..N01R,6,0,,20260512,0,28,2,612N,1778636970,2026-05-12 18:49:30,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000213,126850_6..S01R,6,0,,20260512,0,26,1,628S,1778636938,2026-05-12 18:48:58,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000215,127100_6..N01R,6,0,,20260512,0,25,1,615N,1778636965,2026-05-12 18:49:25,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000217,127550_6..S01R,6,0,,20260512,0,22,0,624S,1778636959,2026-05-12 18:49:19,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000219,127600_6..N01R,6,0,,20260512,0,21,0,619N,1778636970,2026-05-12 18:49:30,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000221,128100_6..N01R,6,0,,20260512,0,20,0,621N,1778636969,2026-05-12 18:49:29,,,0.0,0.0,0.0,0.0,0.0,0,0
